181
iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PES|PAN_PRD_MC|PAN_PRD|PAN_MC|PRD_MC|PRI_PVEM_PANAL|PRI_PVEM|PRI_PANAL|PVEM_PANAL|PT_MORENA_PES|PT_MORENA|PT_PES|MORENA_PES|CNR|NULOS|TOTAL|RAC|JAMK|AMLO|JHRC|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
15|15|403|C|1|0|1|570|13|29|158|Estrato 158|0||89|189|59|0|2|3|2|0|117|2|4|2|0|0|3|0|0|0|7|1|0|2|5|12|433|197|64|132|23|2018|7|1|19|19|39|1|N
15|20|3113|B|1|0|1|474|60|24|163|Estrato 163|0||4|74|49|9|1|3|1|2|165|3|0|1|0|0|3|0|0|0|3|3|0|0|1|10|342|85|55|177|14|2018|7|1|19|12|48|1|N
15|20|3156|B|1|0|1|488|60|24|163|Estrato 163|0||38|21|51|9|1|20|6|3|155|6|2|4|0|0|1|1|0|0|7|2|0|1|0|5|309|42|57|191|14|2018|7|1|19|13|0|1|N
15|20|3160|C|1|0|1|657|60|24|163|Estrato 163|0||15|44|71|24|6|17|2|2|229|5|13|2|0|0|0|0|0|0|12|3|0|5|0|6|469|85|79|271|28|2018|7|1|18|56|16|1|N
15|20|3242|C|1|0|1|540|60|24|163|Estrato 163|0||76|40|46|30|3|17|1|1|162|5|2|0|0|0|0|0|0|0|6|3|0|2|0|9|349|73|50|195|22|2018|7|1|19|12|32|1|N
15|20|3428|B|1|0|1|382|60|24|163|Estrato 163|0||114|43|40|15|0|7|2|3|136|5|6|1|0|0|2|1|0|0|3|0|0|1|0|3|282|67|46|152|14|2018|7|1|19|21|48|1|N
15|22|2595|C|1|0|1|744|58|29|165|Estrato 165|0||26|168|89|2|2|11|2|4|182|10|4|0|0|0|2|1|0|0|13|2|0|0|3|9|528|176|98|218|24|2018|7|1|19|10|29|1|N
15|24|2617|C|1|0|1|418|58|30|167|Estrato 167|0||75|52|34|7|5|6|0|1|141|5|2|1|1|0|0|0|1|0|7|3|0|0|0|8|289|63|41|162|15|2018|7|1|19|6|35|1|N
15|28|5881|C|13|0|2|738|121|20|171|Estrato 171|0||84|38|54|5|1|9|2|5|188|5|1|0|0|0|0|1|0|1|11|9|0|2|0|10|360|46|62|224|18|2018|7|1|19|18|25|1|N
15|31|3069|C|1|0|1|611|60|41|174|Estrato 174|0||9|38|73|25|4|12|2|3|214|4|3|2|0|0|0|1|1|0|5|2|0|2|2|14|408|70|82|239|1|2018|7|1|19|23|43|1|N
